nameyear,Season,Name Season,in_ec,in_fms_fcast,ec_3day_date,ec_3day_trig,ec_5day_date,ec_5day_trig,fms_fcast_date,fms_fcast_trig,fms_actual_date,fms_actual_trig
wati2006,2005/2006,Wati 2005/2006,False,False,,False,,False,,False,,False
wendy1972,1971/1972,Wendy 1971/1972,False,False,,False,,False,,False,,False
wes1998,1997/1998,Wes 1997/1998,False,False,,False,,False,,False,,False
william1983,1982/1983,William 1982/1983,False,False,,False,,False,,False,,False
william1994,1994/1995,William 1994/1995,False,False,,False,,False,,False,,False
wilma2011,2010/2011,Wilma 2010/2011,True,False,,False,,False,,False,,False
wini1987,1986/1987,Wini 1986/1987,False,False,,False,,False,,False,,False
winston2016,2015/2016,Winston 2015/2016,True,False,2016-02-17 00:00:00,True,2016-02-15 00:00:00,True,,False,2016-02-20 08:00:00,True
xavier2006,2006/2007,Xavier 2006/2007,True,False,,False,,False,,False,,False
yali1987,1986/1987,Yali 1986/1987,False,False,,False,,False,,False,,False
yali1998,1997/1998,Yali 1997/1998,False,False,,False,,False,,False,,False
yalo2016,2015/2016,Yalo 2015/2016,True,False,,False,,False,,False,,False
yani2006,2006/2007,Yani 2006/2007,True,False,,False,,False,,False,,False
yasa2020,2020/2021,Yasa 2020/2021,True,True,2020-12-14 12:00:00,True,2020-12-13 12:00:00,True,2020-12-14 12:00:00,True,2020-12-17 07:00:00,True
yasi1996,1995/1996,Yasi 1995/1996,False,False,,False,,False,,False,,False
yasi2011,2010/2011,Yasi 2010/2011,True,False,,False,,False,,False,,False
yolande1972,1971/1972,Yolande 1971/1972,False,False,,False,,False,,False,,False
yolande2002,2002/2003,Yolande 2002/2003,False,False,,False,,False,,False,,False
zaka1996,1995/1996,Zaka 1995/1996,False,False,,False,,False,,False,,False
zaka2011,2010/2011,Zaka 2010/2011,True,False,,False,,False,,False,,False
zazu2020,2020/2021,Zazu 2020/2021,True,False,,False,,False,,False,,False
zelia2011,2010/2011,Zelia 2010/2011,True,False,,False,,False,,False,,False
zena2016,2015/2016,Zena 2015/2016,True,False,,False,,False,,False,,False
zita2007,2006/2007,Zita 2006/2007,True,False,,False,,False,,False,,False
zoe2002,2002/2003,Zoe 2002/2003,False,False,,False,,False,,False,,False
zuman1987,1986/1987,Zuman 1986/1987,False,False,,False,,False,,False,,False
zuman1998,1997/1998,Zuman 1997/1998,False,False,,False,,False,,False,,False
